project_id,project_name,project_type,client,priority,status,start_date,end_date,budget_usd,actual_spend_usd,project_manager_id,tech_lead_id,team_size,avg_velocity,client_satisfaction,region,billable
146038,Meridian Group – Data Pipeline,Data Pipeline,HorizonBank,Medium,On Hold,2020-10-23,2021-02-21,98690,43207,775885,933456,3,29.0,,APAC,Yes
223264,HorizonBank – Data Pipeline,Data Pipeline,Delta Systems,Medium,Completed,2022-10-16,2024-01-26,152703,47395,672892,167136,2,43.0,4.0,Europe,No
575779,Apex Corp – Security Audit,Security Audit,Keystone Partners,Low,Completed,2023-01-25,2023-07-16,5861,2977,929130,882032,19,41.5,3.0,APAC,Yes
252436,Elevate Health – Web Platform,Web Platform,JetStream LLC,Medium,In Progress,2022-05-03,2023-10-23,65981,22544,375201,696707,23,30.6,,Middle East,Yes
577456,HorizonBank – Product Launch,Product Launch,Cornerstone Inc,Medium,Completed,2021-10-23,2022-05-29,68824,65605,612340,676680,4,39.2,2.7,North America,Yes
445200,Keystone Partners – Marketing Campaign,Marketing Campaign,InnovateCo,Low,On Hold,2023-06-07,2023-08-05,32504,28975,348411,621841,25,14.9,,North America,No
859246,LumaMedia – Product Launch,Product Launch,Keystone Partners,Medium,In Progress,2023-03-23,2024-09-12,185931,96816,546157,850689,6,27.4,,LATAM,No
947228,Meridian Group – Data Pipeline,Data Pipeline,BlueSky Ltd,Medium,Cancelled,2020-01-04,2020-04-03,172299,195106,186431,527398,22,,,Europe,No
534153,Elevate Health – Web Platform,Web Platform,Elevate Health,Medium,In Progress,2021-02-16,2022-03-06,131326,40658,883301,322086,4,28.8,,Middle East,Yes
904291,Delta Systems – Web Platform,Web Platform,Frontier AI,High,Cancelled,2024-01-23,2024-12-09,429472,253456,335203,350280,7,,,APAC,No
597549,InnovateCo – Web Platform,Web Platform,Elevate Health,High,In Progress,2023-01-04,2024-05-06,242934,202393,387813,275490,15,41.7,,Middle East,Yes
682145,GlobalTech – Marketing Campaign,Marketing Campaign,Keystone Partners,Critical,Completed,2021-12-25,2022-02-26,1410890,1245349,790897,993892,2,36.2,3.3,Middle East,Yes
698717,OmegaRetail – Product Launch,Product Launch,Delta Systems,Low,Completed,2024-03-19,2024-09-22,20315,21024,282176,794530,12,35.6,2.7,APAC,No
969749,OmegaRetail – Cloud Migration,Cloud Migration,BlueSky Ltd,Medium,On Hold,2022-02-05,2023-04-12,178501,80104,600149,751332,8,28.8,,LATAM,Yes
937838,InnovateCo – ERP Implementation,ERP Implementation,Keystone Partners,High,Completed,2024-02-09,2025-05-31,436637,473790,566453,428709,12,53.1,4.6,Europe,Yes
859767,NovaCare – Web Platform,Web Platform,BlueSky Ltd,Low,In Progress,2021-09-28,2023-02-17,73464,29272,735324,787991,21,57.1,,APAC,No
148381,BlueSky Ltd – Mobile App,Mobile App,Elevate Health,Medium,Completed,2021-03-05,2021-09-15,183652,154822,399817,287155,11,36.2,3.6,Europe,Yes
386929,Elevate Health – Mobile App,Mobile App,Cornerstone Inc,Critical,On Hold,2021-02-27,2021-12-31,1373620,1012291,813824,726258,12,48.4,,APAC,Yes
279594,BlueSky Ltd – Mobile App,Mobile App,GlobalTech,Medium,On Hold,2020-04-13,2020-07-18,197596,150072,350280,943146,23,49.2,,LATAM,Yes
838908,BlueSky Ltd – Product Launch,Product Launch,OmegaRetail,Low,On Hold,2021-02-09,2022-03-11,51612,29190,992952,888295,19,41.7,,LATAM,Yes
197429,OmegaRetail – ERP Implementation,ERP Implementation,JetStream LLC,High,In Progress,2023-12-25,2025-02-19,405469,357545,527398,691240,9,44.3,,APAC,Yes
511122,HorizonBank – Data Pipeline,Data Pipeline,HorizonBank,Medium,Planning,2020-03-02,2020-05-04,190268,17249,414777,397571,13,,,Europe,Yes
905245,Keystone Partners – AI/ML Model,AI/ML Model,BlueSky Ltd,High,On Hold,2024-01-02,2025-03-14,187932,121184,811256,148174,19,35.8,,APAC,No
520286,GlobalTech – Product Launch,Product Launch,JetStream LLC,Low,Completed,2022-09-14,2023-04-28,36941,28287,133276,748276,8,44.3,4.5,APAC,Yes
281493,BlueSky Ltd – Mobile App,Mobile App,JetStream LLC,Low,Completed,2020-07-18,2021-10-11,65674,37865,203782,983456,11,23.2,4.9,North America,No
443312,Elevate Health – ERP Implementation,ERP Implementation,GlobalTech,Critical,Completed,2023-04-04,2024-08-08,656364,652739,984756,654718,2,38.8,3.6,Middle East,No
305171,Apex Corp – API Integration,API Integration,JetStream LLC,Medium,In Progress,2022-06-09,2023-07-11,179671,194175,414455,997594,20,20.4,,Middle East,No
988811,GlobalTech – Data Pipeline,Data Pipeline,LumaMedia,Medium,Completed,2020-04-18,2020-05-18,213579,227656,335421,593152,13,45.5,2.6,Middle East,No
755584,Delta Systems – AI/ML Model,AI/ML Model,InnovateCo,Low,In Progress,2021-03-08,2022-03-12,55012,36853,932250,414777,6,44.2,,LATAM,Yes
980764,GlobalTech – Security Audit,Security Audit,Cornerstone Inc,High,In Progress,2020-01-24,2020-03-30,782615,318302,908713,776234,6,35.5,,North America,Yes
773440,GlobalTech – Security Audit,Security Audit,Frontier AI,Low,Planning,2022-07-19,2023-05-05,60797,7578,232378,120053,16,,,Europe,Yes
545405,OmegaRetail – Product Launch,Product Launch,InnovateCo,Critical,On Hold,2021-04-29,2022-05-28,1244710,1269334,523389,182857,15,24.4,,Middle East,Yes
135087,LumaMedia – Web Platform,Web Platform,LumaMedia,Low,Cancelled,2022-09-13,2024-02-17,53310,21120,792094,843963,6,,,Middle East,Yes
587521,Meridian Group – Marketing Campaign,Marketing Campaign,JetStream LLC,High,On Hold,2022-08-25,2023-08-12,719705,270018,667296,404955,23,53.0,,APAC,Yes
460234,Frontier AI – Marketing Campaign,Marketing Campaign,Meridian Group,Critical,In Progress,2022-08-18,2023-07-07,1152179,847731,507524,207581,15,46.0,,APAC,Yes
275645,Keystone Partners – Web Platform,Web Platform,Elevate Health,Medium,Cancelled,2022-08-27,2023-07-19,156547,55136,211341,290065,3,,,Middle East,Yes
400748,JetStream LLC – ERP Implementation,ERP Implementation,Cornerstone Inc,High,Completed,2021-07-23,2021-12-29,610155,222909,903506,335203,10,36.5,4.4,Middle East,Yes
791174,NovaCare – ERP Implementation,ERP Implementation,Apex Corp,Medium,Planning,2023-12-06,2024-05-04,111959,5849,785491,680358,18,,,APAC,Yes
252117,HorizonBank – Product Launch,Product Launch,LumaMedia,High,Planning,2022-04-25,2023-06-23,600039,90337,666456,221707,23,,,Europe,Yes
705822,HorizonBank – AI/ML Model,AI/ML Model,Elevate Health,Critical,Cancelled,2020-08-25,2020-10-20,754477,710839,283017,893988,14,,,LATAM,Yes
498249,GlobalTech – Security Audit,Security Audit,Keystone Partners,Low,In Progress,2022-06-09,2022-07-15,24025,18039,969325,114463,16,47.1,,APAC,Yes
202093,Elevate Health – Marketing Campaign,Marketing Campaign,Meridian Group,Medium,Planning,2023-08-28,2024-12-09,246380,30082,858705,387813,10,,,North America,Yes
786128,Frontier AI – Product Launch,Product Launch,InnovateCo,Low,In Progress,2023-04-20,2024-06-17,36692,33909,770487,240814,12,21.4,,North America,Yes
972089,Elevate Health – Mobile App,Mobile App,Elevate Health,Critical,In Progress,2023-11-04,2024-07-19,404889,302239,813824,446968,25,3.9,,Europe,Yes
124851,Cornerstone Inc – Product Launch,Product Launch,GlobalTech,High,Completed,2021-03-20,2022-08-18,702999,603253,255287,324993,5,36.4,4.6,Middle East,Yes
216229,LumaMedia – Data Pipeline,Data Pipeline,OmegaRetail,Medium,In Progress,2020-06-04,2021-05-27,264819,228116,109585,815706,15,32.1,,APAC,Yes
269833,Cornerstone Inc – Mobile App,Mobile App,HorizonBank,Medium,Planning,2021-11-12,2023-05-05,52708,4035,211090,586288,10,,,North America,No
310416,BlueSky Ltd – Product Launch,Product Launch,Apex Corp,Low,Completed,2023-01-12,2024-03-10,69494,27253,648141,354801,21,21.5,4.3,North America,Yes
699098,LumaMedia – Cloud Migration,Cloud Migration,Frontier AI,Low,Completed,2023-08-04,2023-09-03,70234,29956,600149,296412,14,17.2,3.2,LATAM,Yes
640418,LumaMedia – ERP Implementation,ERP Implementation,NovaCare,Low,In Progress,2024-05-18,2025-08-06,57941,58951,290556,385192,19,39.8,,LATAM,Yes
694798,InnovateCo – Marketing Campaign,Marketing Campaign,NovaCare,Medium,In Progress,2023-07-18,2025-01-08,178769,114505,908713,270555,13,49.7,,APAC,Yes
982042,Elevate Health – ERP Implementation,ERP Implementation,LumaMedia,Medium,Cancelled,2020-03-21,2021-08-28,126493,56937,666456,517584,8,,,LATAM,Yes
761249,Meridian Group – AI/ML Model,AI/ML Model,InnovateCo,Low,Completed,2020-10-13,2020-11-30,62407,57728,287155,186431,25,46.9,3.5,APAC,No
659876,Keystone Partners – ERP Implementation,ERP Implementation,InnovateCo,Critical,Completed,2024-01-16,2024-03-07,911532,316890,971662,239890,8,37.8,4.5,LATAM,Yes
877048,Cornerstone Inc – Product Launch,Product Launch,Keystone Partners,Medium,Completed,2022-09-28,2023-09-27,39334,36389,534574,943146,21,55.9,2.8,North America,Yes
960607,HorizonBank – Mobile App,Mobile App,JetStream LLC,Low,On Hold,2020-05-10,2021-08-01,27372,27647,927564,811256,5,43.3,,Middle East,Yes
166175,Meridian Group – API Integration,API Integration,Apex Corp,Low,In Progress,2023-11-02,2024-09-21,57692,33207,470248,479580,12,49.0,,Middle East,Yes
451801,HorizonBank – Mobile App,Mobile App,Delta Systems,High,In Progress,2020-12-10,2021-12-31,228097,215304,766764,539898,7,19.8,,Middle East,Yes
239849,OmegaRetail – Mobile App,Mobile App,BlueSky Ltd,Low,Planning,2022-09-24,2022-12-04,25677,80,141319,141319,7,,,Middle East,Yes
536440,HorizonBank – ERP Implementation,ERP Implementation,JetStream LLC,High,Completed,2022-12-07,2023-08-24,230038,194117,701344,975373,7,35.4,3.0,North America,Yes
464750,NovaCare – Security Audit,Security Audit,Meridian Group,Critical,On Hold,2022-12-21,2024-06-03,694170,321482,534753,560485,13,35.9,,Middle East,Yes
586765,Keystone Partners – API Integration,API Integration,Frontier AI,Medium,Completed,2020-11-01,2021-11-16,121564,48112,804758,613426,17,46.0,2.6,APAC,Yes
555786,Meridian Group – Cloud Migration,Cloud Migration,Apex Corp,Medium,On Hold,2024-02-25,2024-04-21,257579,86757,793805,983456,7,54.0,,LATAM,Yes
174301,BlueSky Ltd – API Integration,API Integration,Delta Systems,Low,On Hold,2024-03-10,2025-03-21,47725,31317,612340,148174,9,39.9,,LATAM,Yes
493774,Cornerstone Inc – API Integration,API Integration,GlobalTech,High,In Progress,2022-06-11,2022-09-23,693513,493605,844261,148823,16,27.5,,APAC,Yes
579975,HorizonBank – API Integration,API Integration,GlobalTech,Medium,In Progress,2020-03-06,2021-03-25,126016,73783,142608,211090,10,53.3,,Europe,Yes
330533,BlueSky Ltd – Cloud Migration,Cloud Migration,GlobalTech,High,Planning,2020-12-14,2021-11-04,748990,142721,539898,567200,9,,,Middle East,No
326956,Delta Systems – Product Launch,Product Launch,Frontier AI,Low,Planning,2024-02-04,2024-10-10,65655,3665,431752,335790,9,,,LATAM,Yes
720517,GlobalTech – Data Pipeline,Data Pipeline,InnovateCo,Critical,In Progress,2022-08-21,2023-09-30,292744,97791,775885,918665,3,55.7,,LATAM,No
949049,Elevate Health – Mobile App,Mobile App,Delta Systems,Low,In Progress,2024-03-22,2024-04-27,36524,13536,859687,468611,15,44.1,,North America,Yes
603088,Meridian Group – Cloud Migration,Cloud Migration,Cornerstone Inc,High,Cancelled,2024-03-10,2025-02-01,561592,578009,186431,109585,16,,,LATAM,Yes
928226,InnovateCo – AI/ML Model,AI/ML Model,Apex Corp,Low,Cancelled,2020-05-24,2021-01-06,5178,5340,575458,792094,12,,,APAC,No
889460,Frontier AI – Cloud Migration,Cloud Migration,OmegaRetail,Medium,Planning,2021-11-18,2022-12-29,62445,7748,325772,107686,23,,,North America,Yes
501557,InnovateCo – AI/ML Model,AI/ML Model,LumaMedia,Low,On Hold,2020-12-24,2021-12-20,10357,6325,593152,335421,4,36.0,,Europe,Yes
451199,Meridian Group – API Integration,API Integration,LumaMedia,High,Cancelled,2024-03-20,2025-02-10,581736,539137,335790,835132,8,,,Europe,Yes
469844,InnovateCo – Cloud Migration,Cloud Migration,Keystone Partners,Low,In Progress,2021-12-08,2022-08-26,12138,4295,785491,523389,18,44.5,,Middle East,Yes
573933,Elevate Health – Product Launch,Product Launch,BlueSky Ltd,Medium,Planning,2022-07-26,2022-10-08,54407,2049,458955,752483,7,,,North America,Yes
389346,GlobalTech – Mobile App,Mobile App,Keystone Partners,High,In Progress,2022-12-02,2024-05-02,237808,248210,882032,553014,11,26.1,,Middle East,Yes
596925,Frontier AI – AI/ML Model,AI/ML Model,GlobalTech,Low,In Progress,2020-05-08,2020-06-18,7815,4280,335790,173863,9,45.4,,Middle East,Yes
787614,OmegaRetail – AI/ML Model,AI/ML Model,Meridian Group,Low,On Hold,2022-06-30,2023-03-21,74489,75652,742039,560398,6,25.5,,APAC,Yes
927607,JetStream LLC – Cloud Migration,Cloud Migration,OmegaRetail,Medium,In Progress,2024-04-25,2025-07-31,214983,241880,815198,952679,13,31.6,,Europe,Yes
291134,Delta Systems – Data Pipeline,Data Pipeline,InnovateCo,High,Completed,2021-10-10,2022-08-30,329461,131580,592198,304110,10,67.3,3.4,North America,Yes
460549,OmegaRetail – Data Pipeline,Data Pipeline,Frontier AI,Medium,In Progress,2020-09-05,2022-01-19,105247,79313,186431,971662,17,41.4,,Europe,Yes
874368,Cornerstone Inc – Marketing Campaign,Marketing Campaign,Meridian Group,Medium,Cancelled,2021-08-16,2023-01-24,174956,122963,984756,290065,23,,,Middle East,No
455136,HorizonBank – Mobile App,Mobile App,Frontier AI,Low,Completed,2020-08-27,2021-03-02,23274,20395,186431,533377,21,9.0,4.6,North America,Yes
157706,Keystone Partners – Product Launch,Product Launch,BlueSky Ltd,Medium,On Hold,2024-04-20,2024-10-09,296002,144692,537020,553014,4,25.3,,Middle East,No
303895,NovaCare – ERP Implementation,ERP Implementation,GlobalTech,Medium,On Hold,2023-09-27,2024-04-28,288202,317567,979827,952679,24,34.9,,APAC,No
490941,GlobalTech – Web Platform,Web Platform,Meridian Group,Medium,In Progress,2022-07-01,2023-10-21,204211,114740,275715,477400,8,36.2,,LATAM,Yes
271746,JetStream LLC – Security Audit,Security Audit,Meridian Group,Low,Completed,2021-09-13,2022-06-13,16282,6872,329642,566453,12,25.1,2.7,LATAM,Yes
106940,InnovateCo – Security Audit,Security Audit,HorizonBank,Medium,In Progress,2023-12-25,2024-11-09,111694,86277,984756,479580,8,42.6,,North America,Yes
975126,NovaCare – Product Launch,Product Launch,Keystone Partners,Medium,In Progress,2020-01-06,2020-04-23,262982,129082,305721,955015,22,48.8,,LATAM,Yes
785572,Frontier AI – Cloud Migration,Cloud Migration,JetStream LLC,Low,Completed,2023-08-13,2024-01-15,69472,74388,350280,897305,10,6.2,4.0,LATAM,No
370439,Apex Corp – ERP Implementation,ERP Implementation,Cornerstone Inc,High,In Progress,2020-02-05,2021-05-12,617422,569888,586288,256389,20,39.4,,APAC,No
826959,Delta Systems – Data Pipeline,Data Pipeline,Meridian Group,Medium,Completed,2022-05-09,2023-04-29,47728,25380,572161,815198,11,33.6,2.7,Europe,Yes
727847,LumaMedia – Data Pipeline,Data Pipeline,LumaMedia,Medium,Planning,2023-11-03,2025-01-15,185785,30722,658065,275018,23,,,APAC,Yes
660380,GlobalTech – Product Launch,Product Launch,Frontier AI,Medium,Planning,2022-11-27,2023-05-20,95349,245,770864,751332,17,,,Europe,Yes
328459,NovaCare – Data Pipeline,Data Pipeline,InnovateCo,Medium,Planning,2023-02-18,2024-01-28,118784,18889,792094,532322,18,,,Middle East,Yes
537619,HorizonBank – ERP Implementation,ERP Implementation,OmegaRetail,High,Completed,2022-09-09,2023-04-05,217606,236080,402099,792094,13,54.5,2.8,Middle East,Yes
280572,Delta Systems – Cloud Migration,Cloud Migration,Elevate Health,Critical,Cancelled,2020-09-20,2022-01-01,1908285,764854,255528,633188,24,,,Europe,Yes
236543,Delta Systems – Mobile App,Mobile App,BlueSky Ltd,Low,Cancelled,2024-05-05,2025-02-06,19643,7190,911032,648141,3,,,North America,Yes
591868,Cornerstone Inc – Mobile App,Mobile App,Keystone Partners,Medium,Completed,2020-01-22,2021-03-13,54732,30452,952547,210665,5,45.1,4.8,APAC,Yes
195189,InnovateCo – Data Pipeline,Data Pipeline,JetStream LLC,Medium,On Hold,2022-10-22,2023-12-25,202366,121292,202365,206176,9,34.1,,North America,Yes
959398,Delta Systems – Product Launch,Product Launch,OmegaRetail,Critical,On Hold,2021-07-31,2021-11-25,655077,595098,984756,793805,2,43.4,,Middle East,No
484264,Delta Systems – Product Launch,Product Launch,InnovateCo,High,In Progress,2021-01-05,2022-04-07,786242,875940,850689,676680,15,37.1,,Europe,No
218327,Frontier AI – AI/ML Model,AI/ML Model,HorizonBank,High,In Progress,2022-10-12,2023-12-06,195674,145144,772875,335421,11,34.8,,North America,No
397388,NovaCare – ERP Implementation,ERP Implementation,BlueSky Ltd,Medium,Cancelled,2022-04-14,2022-10-09,252760,124356,567200,834498,8,,,LATAM,Yes
288006,Cornerstone Inc – Web Platform,Web Platform,GlobalTech,Low,Cancelled,2022-12-06,2023-12-08,18785,11964,482812,198867,5,,,LATAM,Yes
877447,NovaCare – Data Pipeline,Data Pipeline,GlobalTech,High,In Progress,2023-05-03,2024-08-07,288757,169742,891787,964915,9,36.8,,LATAM,Yes
901968,Elevate Health – Product Launch,Product Launch,Cornerstone Inc,Medium,Planning,2023-09-27,2024-08-30,229838,16368,971662,785491,18,,,LATAM,Yes
228125,Apex Corp – Cloud Migration,Cloud Migration,Cornerstone Inc,Low,In Progress,2020-10-02,2020-11-16,35254,29405,411882,462479,3,44.8,,LATAM,Yes
260155,Delta Systems – Cloud Migration,Cloud Migration,Elevate Health,High,Planning,2022-11-30,2024-01-26,160234,21185,156778,669460,16,,,LATAM,No
629315,GlobalTech – Cloud Migration,Cloud Migration,HorizonBank,Medium,Planning,2020-03-05,2021-08-24,29264,5575,648141,477114,5,,,APAC,No
564053,Cornerstone Inc – ERP Implementation,ERP Implementation,Elevate Health,Critical,Completed,2024-05-15,2024-11-16,570921,441417,538555,282176,7,25.7,3.7,LATAM,No
901123,InnovateCo – Mobile App,Mobile App,Apex Corp,Low,Cancelled,2023-03-17,2023-12-12,77585,68474,414777,275715,7,,,LATAM,Yes
618721,Frontier AI – Product Launch,Product Launch,Meridian Group,Low,On Hold,2021-08-05,2022-02-15,51237,48752,940181,350280,20,59.9,,Middle East,Yes
902364,Delta Systems – AI/ML Model,AI/ML Model,Keystone Partners,Low,Completed,2022-01-01,2022-08-29,61118,36265,813824,325772,23,44.4,3.1,APAC,Yes
821411,Elevate Health – Mobile App,Mobile App,Apex Corp,Medium,Completed,2023-01-07,2023-07-22,196996,87527,600149,891937,23,48.2,4.8,LATAM,Yes
431889,HorizonBank – Security Audit,Security Audit,InnovateCo,Low,In Progress,2020-07-23,2021-08-10,17809,17578,443897,403915,12,26.2,,APAC,Yes
744693,JetStream LLC – Cloud Migration,Cloud Migration,GlobalTech,Medium,In Progress,2020-06-03,2021-09-06,125779,90863,989079,138436,8,37.1,,Europe,Yes
852570,Delta Systems – Product Launch,Product Launch,Frontier AI,High,On Hold,2023-03-06,2024-05-19,433200,230618,361662,414777,15,41.6,,North America,Yes
629152,HorizonBank – Cloud Migration,Cloud Migration,Keystone Partners,Low,Cancelled,2022-04-28,2022-12-19,75772,42913,377370,546157,18,,,Middle East,Yes
119506,Meridian Group – Marketing Campaign,Marketing Campaign,OmegaRetail,High,On Hold,2024-02-29,2025-07-23,603452,290266,435239,182857,22,21.8,,LATAM,Yes
647639,GlobalTech – API Integration,API Integration,Frontier AI,Medium,In Progress,2024-03-08,2025-03-23,97460,49150,503489,955015,15,34.6,,North America,Yes
987060,Delta Systems – Security Audit,Security Audit,BlueSky Ltd,Medium,Planning,2021-06-09,2022-06-25,170494,22029,218423,573962,14,,,Europe,Yes
129049,Elevate Health – API Integration,API Integration,Meridian Group,Medium,In Progress,2022-06-12,2023-02-13,274480,212955,908713,657487,8,41.5,,APAC,Yes
775591,OmegaRetail – Web Platform,Web Platform,GlobalTech,Low,Planning,2020-06-20,2020-12-27,7609,84,154944,950916,4,,,APAC,Yes
516174,OmegaRetail – Data Pipeline,Data Pipeline,BlueSky Ltd,Medium,Completed,2022-12-04,2023-12-09,282274,308524,483162,906527,18,43.5,3.1,Europe,Yes
910749,BlueSky Ltd – AI/ML Model,AI/ML Model,Cornerstone Inc,Medium,Planning,2024-03-03,2024-07-31,224446,36173,695225,354801,6,,,Europe,Yes
560823,GlobalTech – Security Audit,Security Audit,HorizonBank,Medium,Planning,2022-02-06,2023-03-01,49321,4836,397571,926394,19,,,Europe,Yes
922370,LumaMedia – Data Pipeline,Data Pipeline,OmegaRetail,Medium,In Progress,2020-02-13,2021-02-07,212801,212409,963918,780364,25,23.0,,Europe,Yes
679577,NovaCare – Security Audit,Security Audit,HorizonBank,Medium,Cancelled,2023-11-04,2024-02-04,210240,224469,670913,997287,9,,,LATAM,Yes
512064,Meridian Group – Cloud Migration,Cloud Migration,Keystone Partners,Medium,Completed,2020-11-24,2022-04-06,143449,79299,680933,789880,12,13.7,4.7,LATAM,Yes
387348,InnovateCo – Mobile App,Mobile App,BlueSky Ltd,Low,In Progress,2021-11-12,2022-12-14,59127,64301,695225,913331,5,46.4,,APAC,No
731364,Meridian Group – Marketing Campaign,Marketing Campaign,Keystone Partners,Medium,In Progress,2023-08-06,2024-07-29,34339,32542,573866,310647,16,21.4,,Europe,Yes
520124,Keystone Partners – API Integration,API Integration,GlobalTech,Medium,In Progress,2021-05-26,2022-03-16,63113,24879,722518,775885,22,39.9,,APAC,No
601602,GlobalTech – Data Pipeline,Data Pipeline,NovaCare,Medium,Completed,2021-02-10,2021-04-24,191746,187834,168872,463656,7,14.8,3.5,Middle East,Yes
121741,Frontier AI – Web Platform,Web Platform,Cornerstone Inc,Medium,Completed,2023-12-07,2025-03-17,262443,122961,211341,340068,14,26.0,2.9,Middle East,Yes
114800,Delta Systems – Marketing Campaign,Marketing Campaign,NovaCare,Low,Planning,2022-10-09,2023-01-07,64468,10666,262656,722518,8,,,APAC,Yes
882702,GlobalTech – ERP Implementation,ERP Implementation,Cornerstone Inc,Low,Completed,2023-05-13,2023-09-30,61532,63247,515922,883301,25,27.0,4.2,LATAM,Yes
130170,LumaMedia – Cloud Migration,Cloud Migration,GlobalTech,Medium,Completed,2022-01-27,2022-12-21,256441,274707,587274,908713,16,49.6,4.7,Europe,No
842866,Keystone Partners – Security Audit,Security Audit,Meridian Group,Medium,Completed,2020-04-16,2020-11-02,69953,54105,573962,943146,13,44.9,5.0,Middle East,Yes
105621,InnovateCo – Cloud Migration,Cloud Migration,HorizonBank,Low,In Progress,2020-09-27,2022-03-06,56733,49390,970708,593152,3,29.8,,APAC,No
238327,HorizonBank – Mobile App,Mobile App,NovaCare,Medium,Cancelled,2021-06-17,2021-09-14,298094,199123,520884,735324,6,,,APAC,Yes
550977,HorizonBank – Cloud Migration,Cloud Migration,Meridian Group,Medium,On Hold,2022-06-11,2023-10-11,158285,117040,876936,463546,25,33.5,,Europe,No
155807,Apex Corp – API Integration,API Integration,HorizonBank,High,Completed,2022-08-21,2023-01-31,321026,146281,256389,282176,16,1.9,4.8,APAC,No
579995,NovaCare – ERP Implementation,ERP Implementation,Cornerstone Inc,High,Planning,2020-07-10,2020-11-21,235245,5817,329642,639593,7,,,Middle East,Yes
690607,Meridian Group – Product Launch,Product Launch,HorizonBank,Medium,On Hold,2023-03-14,2023-07-14,22163,16558,574379,901305,9,53.2,,North America,Yes
127223,Keystone Partners – Cloud Migration,Cloud Migration,HorizonBank,High,In Progress,2020-08-05,2021-11-06,471704,378206,387782,856442,2,57.7,,LATAM,Yes
723068,Apex Corp – Web Platform,Web Platform,Meridian Group,Medium,Completed,2024-02-07,2025-03-18,257555,148397,114463,142608,6,49.0,3.0,APAC,Yes
936917,Cornerstone Inc – Web Platform,Web Platform,GlobalTech,High,On Hold,2022-03-27,2022-09-03,711548,444135,375201,975373,14,57.9,,LATAM,Yes
